id,items
1,Акустика
1,Клавиатура
1,Материнка
2,Акустика
2,Жесткий диск
2,Геймпад
3,Мышка
3,Акустика
4,Клавиатура
4,Жесткий диск
4,Блок питания
5,Жесткий диск
5,Блок питания
6,Монитор
6,Клавиатура
6,Акустика
7,Клавиатура
8,Геймпад
8,Жесткий диск
8,Мышка
9,Жесткий диск
9,Мышка
9,Акустика
10,Мышка
10,Блок питания
10,Геймпад
10,Клавиатура
11,Жесткий диск
11,Блок питания
11,Монитор
11,Геймпад
12,Геймпад
12,Мышка
13,Мышка
13,Материнка
13,Жесткий диск
14,Клавиатура
14,Мышка
14,Жесткий диск
14,Материнка
15,Геймпад
15,Жесткий
15,диск
15,Материнка
16,Материнка
16,Мышка
16,Монитор
17,Жесткий диск
17,Клавиатура
17,Мышка
18,Клавиатура
18,Материнка
18,Мышка
18,Акустика
19,Блок питания
19,Мышка
19,Акустика
20,Акустика
20,Блок питания
